stage,board,capacitor_role,sweep_type,freq_start_hz,freq_end_hz,step_hz,amplitude_guidance,peak_current_guidance,purpose,status
1,S90-0402,any,broad-low,200,3000,25,lowest available level (0.05 Vac_peak; escalate only if SNR insufficient),<= 25 mA where practical (see ELECTRICAL_MEASUREMENT_SETUP.md),locate actual PCB resonances (low band),run first
1,S90-0402,any,broad-high,3000,20000,100,lowest available level (0.05 Vac_peak; escalate only if SNR insufficient),<= 25 mA where practical (see ELECTRICAL_MEASUREMENT_SETUP.md),locate actual PCB resonances (high band),run first
1,S90-0603,any,broad-low,200,3000,25,lowest available level (0.05 Vac_peak; escalate only if SNR insufficient),<= 25 mA where practical (see ELECTRICAL_MEASUREMENT_SETUP.md),locate actual PCB resonances (low band),run first
1,S90-0603,any,broad-high,3000,20000,100,lowest available level (0.05 Vac_peak; escalate only if SNR insufficient),<= 25 mA where practical (see ELECTRICAL_MEASUREMENT_SETUP.md),locate actual PCB resonances (high band),run first
1,S90-0805,any,broad-low,200,3000,25,lowest available level (0.05 Vac_peak; escalate only if SNR insufficient),<= 25 mA where practical (see ELECTRICAL_MEASUREMENT_SETUP.md),locate actual PCB resonances (low band),run first
1,S90-0805,any,broad-high,3000,20000,100,lowest available level (0.05 Vac_peak; escalate only if SNR insufficient),<= 25 mA where practical (see ELECTRICAL_MEASUREMENT_SETUP.md),locate actual PCB resonances (high band),run first
1,W90-0603,any,broad-low,200,3000,25,lowest available level (0.05 Vac_peak; escalate only if SNR insufficient),<= 25 mA where practical (see ELECTRICAL_MEASUREMENT_SETUP.md),locate actual PCB resonances (low band); position-control,run after S90 broad sweeps
1,W90-0603,any,broad-high,3000,20000,100,lowest available level (0.05 Vac_peak; escalate only if SNR insufficient),<= 25 mA where practical (see ELECTRICAL_MEASUREMENT_SETUP.md),locate actual PCB resonances (high band); position-control,run after S90 broad sweeps
1,S0-0603,any,broad-low,200,3000,25,lowest available level (0.05 Vac_peak; escalate only if SNR insufficient),<= 25 mA where practical (see ELECTRICAL_MEASUREMENT_SETUP.md),locate actual PCB resonances (low band); orientation-control,run after S90 broad sweeps
1,S0-0603,any,broad-high,3000,20000,100,lowest available level (0.05 Vac_peak; escalate only if SNR insufficient),<= 25 mA where practical (see ELECTRICAL_MEASUREMENT_SETUP.md),locate actual PCB resonances (high band); orientation-control,run after S90 broad sweeps
2,S90-0402,per run,dense-f,fr-100,fr+100,2-5,per run_protocol.md / experiment_matrix_template.csv,per I_peak check at chosen level,dense scan around each measured resonance fr,repeat for every fr found in stage 1 on this board
2,S90-0402,per run,dense-2f,fr/2-100,fr/2+100,2-5,per run_protocol.md / experiment_matrix_template.csv,per I_peak check at chosen level,test 2f electrostrictive excitation near half of each measured fr,repeat for every fr found in stage 1 on this board
2,S90-0603,per run,dense-f,fr-100,fr+100,2-5,per run_protocol.md / experiment_matrix_template.csv,per I_peak check at chosen level,dense scan around each measured resonance fr,repeat for every fr found in stage 1 on this board
2,S90-0603,per run,dense-2f,fr/2-100,fr/2+100,2-5,per run_protocol.md / experiment_matrix_template.csv,per I_peak check at chosen level,test 2f electrostrictive excitation near half of each measured fr,repeat for every fr found in stage 1 on this board
2,S90-0805,per run,dense-f,fr-100,fr+100,2-5,per run_protocol.md / experiment_matrix_template.csv,per I_peak check at chosen level,dense scan around each measured resonance fr,repeat for every fr found in stage 1 on this board
2,S90-0805,per run,dense-2f,fr/2-100,fr/2+100,2-5,per run_protocol.md / experiment_matrix_template.csv,per I_peak check at chosen level,test 2f electrostrictive excitation near half of each measured fr,repeat for every fr found in stage 1 on this board
2,W90-0603,reference,dense-f,fr-100,fr+100,2-5,match the level used for the corresponding S90-0603 dense-f run,per I_peak check at chosen level,repeat dense sweep at the measured S90 primary resonance to quantify the strong/control response ratio,pending stage-1 measured resonance
2,S0-0603,reference,dense-f,fr-100,fr+100,2-5,match the level used for the corresponding S90-0603 dense-f run,per I_peak check at chosen level,repeat dense sweep at the measured S90 primary resonance to quantify the 0deg/90deg orientation response ratio,pending stage-1 measured resonance
