run_id,board,mlcc_x_mm,mlcc_y_mm,orientation_deg,capacitor_role,capacitor_id,sweep_type,freq_start_hz,freq_end_hz,based_on_predicted_hz,function_gen_Vpp,function_gen_freq_hz,DUT_Vpp_measured,DUT_Vpeak_measured,C_nominal_nF,I_peak_predicted_mA,vibration_metric,vibration_value,vibration_units,notes
R001,S90,50,10,90,reference,REF,broad,200,3000,n/a,,,,,,,,,,
R002,S90,50,10,90,reference,REF,dense-f,927,1254,1090,,,,,,,,,,
R003,S90,50,10,90,reference,REF,dense-f,1310,1772,1541,,,,,,,,,,
R004,S90,50,10,90,reference,REF,dense-f,1949,2637,2293,,,,,,,,,,
R005,S90,50,10,90,reference,REF,dense-2f,463,627,545,,,,,,,,,,
R006,S90,50,10,90,reference,REF,dense-2f,655,886,770.6,,,,,,,,,,
R007,S90,50,10,90,reference,REF,dense-2f,975,1319,1146.6,,,,,,,,,,
R008,W90,20,20,90,reference,REF,broad,200,3000,n/a,,,,,,,,,,
R009,W90,20,20,90,reference,REF,dense-f,927,1254,1090,,,,,,,,,,
R010,W90,20,20,90,reference,REF,dense-f,1310,1772,1541,,,,,,,,,,
R011,W90,20,20,90,reference,REF,dense-f,1949,2637,2293,,,,,,,,,,
R012,W90,20,20,90,reference,REF,dense-2f,463,627,545,,,,,,,,,,
R013,W90,20,20,90,reference,REF,dense-2f,655,886,770.6,,,,,,,,,,
R014,W90,20,20,90,reference,REF,dense-2f,975,1319,1146.6,,,,,,,,,,
R015,S0,50,10,0,reference,REF,broad,200,3000,n/a,,,,,,,,,,
R016,S0,50,10,0,reference,REF,dense-f,927,1254,1090,,,,,,,,,,
R017,S0,50,10,0,reference,REF,dense-f,1310,1772,1541,,,,,,,,,,
R018,S0,50,10,0,reference,REF,dense-f,1949,2637,2293,,,,,,,,,,
R019,S0,50,10,0,reference,REF,dense-2f,463,627,545,,,,,,,,,,
R020,S0,50,10,0,reference,REF,dense-2f,655,886,770.6,,,,,,,,,,
R021,S0,50,10,0,reference,REF,dense-2f,975,1319,1146.6,,,,,,,,,,
R022,S90,50,10,90,candidate,TBD-1,broad,200,3000,n/a,,,,,,,,,,
R023,S90,50,10,90,candidate,TBD-1,dense-f,927,1254,1090,,,,,,,,,,
R024,S90,50,10,90,candidate,TBD-1,dense-f,1310,1772,1541,,,,,,,,,,
R025,S90,50,10,90,candidate,TBD-1,dense-f,1949,2637,2293,,,,,,,,,,
R026,S90,50,10,90,candidate,TBD-1,dense-2f,463,627,545,,,,,,,,,,
R027,S90,50,10,90,candidate,TBD-1,dense-2f,655,886,770.6,,,,,,,,,,
R028,S90,50,10,90,candidate,TBD-1,dense-2f,975,1319,1146.6,,,,,,,,,,
R029,S90,50,10,90,candidate,TBD-2,broad,200,3000,n/a,,,,,,,,,,
R030,S90,50,10,90,candidate,TBD-2,dense-f,927,1254,1090,,,,,,,,,,
R031,S90,50,10,90,candidate,TBD-2,dense-f,1310,1772,1541,,,,,,,,,,
R032,S90,50,10,90,candidate,TBD-2,dense-f,1949,2637,2293,,,,,,,,,,
R033,S90,50,10,90,candidate,TBD-2,dense-2f,463,627,545,,,,,,,,,,
R034,S90,50,10,90,candidate,TBD-2,dense-2f,655,886,770.6,,,,,,,,,,
R035,S90,50,10,90,candidate,TBD-2,dense-2f,975,1319,1146.6,,,,,,,,,,
R036,S90,50,10,90,candidate,TBD-3,broad,200,3000,n/a,,,,,,,,,,
R037,S90,50,10,90,candidate,TBD-3,dense-f,927,1254,1090,,,,,,,,,,
R038,S90,50,10,90,candidate,TBD-3,dense-f,1310,1772,1541,,,,,,,,,,
R039,S90,50,10,90,candidate,TBD-3,dense-f,1949,2637,2293,,,,,,,,,,
R040,S90,50,10,90,candidate,TBD-3,dense-2f,463,627,545,,,,,,,,,,
R041,S90,50,10,90,candidate,TBD-3,dense-2f,655,886,770.6,,,,,,,,,,
R042,S90,50,10,90,candidate,TBD-3,dense-2f,975,1319,1146.6,,,,,,,,,,
