phase,phase_name,specimen_id,variant,capacitor_role,freq_label,freq_spec,vac_peak_target_v,vdc_target_v,required_or_optional,new_measurement_or_reused,purpose
0,Resonance identification,S90-0603-R-01,S90-0603,R,broad-low,"200-3000 Hz, 25 Hz step",0.02,0,required,New,locate fr1/fr2/fr3 (defines the standard six-frequency set used by every later phase)
0,Resonance identification,S90-0603-R-01,S90-0603,R,broad-high,"3000-20000 Hz, 100 Hz step",0.02,0,required,New,locate any resonances above 3000 Hz for context (fr1/fr2/fr3 are defined within 200-3000 Hz only)
1,Reference position/orientation validation,S90-0603-R-01,S90-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-01,S90-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-01,S90-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-01,S90-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-01,S90-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-01,S90-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-02,S90-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-02,S90-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-02,S90-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-02,S90-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-02,S90-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-02,S90-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-03,S90-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-03,S90-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-03,S90-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-03,S90-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-03,S90-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,S90-0603-R-03,S90-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-01,W90-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-01,W90-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-01,W90-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-01,W90-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-01,W90-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-01,W90-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-02,W90-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-02,W90-0603,R,fr2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-02,W90-0603,R,fr3,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-02,W90-0603,R,fr1/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-02,W90-0603,R,fr2/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-02,W90-0603,R,fr3/2,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
1,Reference position/orientation validation,W90-0603-R-03,W90-0603,R,fr1,measured value from Phase 0 - not yet available,0.1,0,required,New,validate position effect (S90 vs W90) and orientation effect (S90 vs S0)
