specimen_id,variant,capacitor_role,capacitor_part_number,dielectric,capacitance,rated_voltage_V,footprint,mlcc_x_mm,mlcc_y_mm,orientation_deg,status,notes
S90-0603-R-01,S90-0603,R,0603ZD105KAT2A,X5R,1 uF,10,0603,50,10,90,planned - populated,
S90-0603-R-02,S90-0603,R,0603ZD105KAT2A,X5R,1 uF,10,0603,50,10,90,planned - populated,
S90-0603-R-03,S90-0603,R,0603ZD105KAT2A,X5R,1 uF,10,0603,50,10,90,planned - populated,
S90-0603-C1-01,S90-0603,C1,TBD,X5R,0.1 uF,10,0603,50,10,90,planned - populated,
S90-0603-C1-02,S90-0603,C1,TBD,X5R,0.1 uF,10,0603,50,10,90,planned - populated,
S90-0603-C2-01,S90-0603,C2,TBD,X5R,10 uF,10,0603,50,10,90,planned - populated,
S90-0603-C2-02,S90-0603,C2,TBD,X5R,10 uF,10,0603,50,10,90,planned - populated,
S90-0603-V1-01,S90-0603,V1,TBD,X5R,1 uF,16,0603,50,10,90,planned - populated,
S90-0603-V1-02,S90-0603,V1,TBD,X5R,1 uF,16,0603,50,10,90,planned - populated,
S90-0603-V2-01,S90-0603,V2,TBD,X5R,1 uF,25,0603,50,10,90,planned - populated,
S90-0603-V2-02,S90-0603,V2,TBD,X5R,1 uF,25,0603,50,10,90,planned - populated,
S90-0603-V3-01,S90-0603,V3,TBD,X5R,1 uF,50,0603,50,10,90,planned - populated,
S90-0603-V3-02,S90-0603,V3,TBD,X5R,1 uF,50,0603,50,10,90,planned - populated,
S90-0603-N1-01,S90-0603,N1,TBD,C0G,TBD - open (see notes),TBD - open (see notes),0603,50,10,90,planned - populated,
S90-0603-N1-02,S90-0603,N1,TBD,C0G,TBD - open (see notes),TBD - open (see notes),0603,50,10,90,planned - populated,
S90-0402-P1-01,S90-0402,P1,TBD,X5R,1 uF,10,0402,50,10,90,planned - populated,
S90-0402-P1-02,S90-0402,P1,TBD,X5R,1 uF,10,0402,50,10,90,planned - populated,
S90-0402-P1-03,S90-0402,P1,TBD,X5R,1 uF,10,0402,50,10,90,planned - populated,
S90-0402-SPARE-01,S90-0402,SPARE,n/a,n/a,n/a,n/a,0402,50,10,90,planned - unpopulated spare,
S90-0402-SPARE-02,S90-0402,SPARE,n/a,n/a,n/a,n/a,0402,50,10,90,planned - unpopulated spare,
S90-0805-P2-01,S90-0805,P2,TBD,X5R,1 uF,10,0805,50,10,90,planned - populated,
S90-0805-P2-02,S90-0805,P2,TBD,X5R,1 uF,10,0805,50,10,90,planned - populated,
S90-0805-P2-03,S90-0805,P2,TBD,X5R,1 uF,10,0805,50,10,90,planned - populated,
S90-0805-D1-01,S90-0805,D1,TBD,X7R,1 uF,10,0805,50,10,90,planned - populated,
S90-0805-D1-02,S90-0805,D1,TBD,X7R,1 uF,10,0805,50,10,90,planned - populated,
W90-0603-R-01,W90-0603,R,0603ZD105KAT2A,X5R,1 uF,10,0603,20,20,90,planned - populated,
W90-0603-R-02,W90-0603,R,0603ZD105KAT2A,X5R,1 uF,10,0603,20,20,90,planned - populated,
W90-0603-R-03,W90-0603,R,0603ZD105KAT2A,X5R,1 uF,10,0603,20,20,90,planned - populated,
W90-0603-SPARE-01,W90-0603,SPARE,n/a,n/a,n/a,n/a,0603,20,20,90,planned - unpopulated spare,
W90-0603-SPARE-02,W90-0603,SPARE,n/a,n/a,n/a,n/a,0603,20,20,90,planned - unpopulated spare,
S0-0603-R-01,S0-0603,R,0603ZD105KAT2A,X5R,1 uF,10,0603,50,10,0,planned - populated,
S0-0603-R-02,S0-0603,R,0603ZD105KAT2A,X5R,1 uF,10,0603,50,10,0,planned - populated,
S0-0603-R-03,S0-0603,R,0603ZD105KAT2A,X5R,1 uF,10,0603,50,10,0,planned - populated,
S0-0603-SPARE-01,S0-0603,SPARE,n/a,n/a,n/a,n/a,0603,50,10,0,planned - unpopulated spare,
S0-0603-SPARE-02,S0-0603,SPARE,n/a,n/a,n/a,n/a,0603,50,10,0,planned - unpopulated spare,
